Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Adrese,Tālrunis,E-pasts,Novads/Pilsēta,Likvidēta,visc_kods,pasvaldiba,urban,valoda,lat,lng
"""Mācību centrs """"IEC Datoru kursi""""""",3360800412,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""SO """"Starptautiskās apmaiņas centrs""""""","""SO """"Starptautiskās apmaiņas centrs""""""","Republikuas laukums 2, RĪGA, LV-1010",7228228,Eduards@iec.lv,Rīga,J,,,,,56.9543518,24.0993715
"""Mācību centrs """"TEKSA Income""""""",3360800188,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""SIA """"BIZNESS INCOME""""""","""SIA """"BIZNESS INCOME""""""","Dzirnavu 83/85, RĪGA, LV-1011",7285177,,Rīga,J,,,,,0,Didn't find exactly one placemark! (Found 2)
"""Mācību centrs """"TeleTRADE""""""",3360800598,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""Sabiedrība ar ierobežotu atbildību """"INKOBALT""""""","""Sabiedrība ar ierobežotu atbildību """"INKOBALT""""""","Merķeļa 40972, RĪGA, LV-1050",+371 6 7350148,info@teletrade.lv,Rīga,J,,,,,56.95071,24.1172799
"""Mācību centrs Demarsch""",3360800762,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""DEMARSCH""","Sabiedrība ar ierobežotu atbildību ""DEMARSCH""","TOMSONA IELA 42 - 7, RĪGA, LV-1013",67374113,info@demarsch.lv,Rīga,N,,,,,56.9687154,24.1300847
"""Mācību centrs Jatlars""",3060800620,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Pieaugušo izglītības iestāde,"SIA ""Jatlars""","SIA ""Jatlars""","PELDU IELA 5, LIEPĀJA, LV-3404",63424113,jatlars.apsardze@inbox.lv,Liepāja,J,,,,,56.5053667,21.010088
"""Mācību centrs Liepa""",3360800447,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""Mācību centrs Liepa""","SIA ""Mācību centrs Liepa""","MASKAVAS IELA 58b, RĪGA, LV-1003",67552522,liepamc@inbox.lv,Rīga,N,,,,,56.93975,24.1262047
"""Mācību centrs Livonija""",3160800856,Biedrības struktūrvienība,IĻJA KLIMANOVS,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Biedrība ""Izglītības un sociāla atbalsta centrs ""Livonija""""","Biedrība ""Izglītības un sociāla atbalsta centrs ""Livonija""""","ATBRĪVOŠANAS ALEJA 120 - 1, RĒZEKNE, LV-4601",26179314,mclivonija@inbox.lv,Rēzekne,N,,,,,56.5108518,27.3339205
"""MĀCĪBU CENTRS"" SIA",2560800035,Komercsabiedrība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Anita Bedrīte,Anita Bedrīte,"CĒSU IELA 20, VALMIERA, LV-4201",64223559  29426161,,Valmiera,N,,,,,57.5316533,25.4234999
"""Mācību un attīstības centrs SIA """"Sīriuss un partneri""""""",3360800133,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,Laila Kokina,Laila Kokina,"Pulkveža Brieža 4, RĪGA, LV-1010",7334305,,Rīga,J,,,,,56.9591506,24.1058444
"""Mācību un pāraudzināšanas iestāde """"Pilcene""""""",1918002020,Valsts,,0,0,Vispārējās izglītības iestāde,Sociālās korekcijas iestāde,Izglītības un zinātnes ministrija,Izglītības un zinātnes ministrija,"DRICĀNU PAGASTS, RĒZEKNES NOVADS, LV-4615",6515256,,Rēzeknes novads,J,,,,,56.6613789,27.1987067
"""MAXIMA Latvija mācību centrs""",2060800370,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"""MAXIMA Latvija""SIA","""MAXIMA Latvija""SIA","""Abras"", ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2111",29808324,marite.seile@maxima.lv,Ķekavas novads,N,,,,,56.8674054,24.1592037
"""Mērdzenes pagasta pirmsskolas izglītības iestāde """"Saulīte""""""",1501900486,Pašvaldība,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Mērdzenes pagasta Padome,Mērdzenes pagasta Padome,"MĒRDZENES PAGASTS, KĀRSAVAS NOVADS, LV-5726",5752298,,Kārsavas novads,J,,,,,56.6958066,27.7681002
"""Modes dizaina apmācības studija """"KIRE""""""",3560800027,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""SIA """"KIRE""""""","""SIA """"KIRE""""""","Kurzemes Prospekts 94-17, RĪGA, LV-1069",9242703,karinaa@navigators.lv,Rīga,J,,,,,56.9688091,24.014112
"""Modes skola """"ANISOLS""""""",3332800312,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Arodizglītības iestāde,"""SIA """"ANISOLS""""""","""SIA """"ANISOLS""""""","Kalnu 4, RĪGA, LV-1003",7112912,,Rīga,J,,,,,56.9419079,24.1423549
"""Narmadas tautskola""",4460800777,Biedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"""Straupes pilsētas atdzimšanas biedrība""","""Straupes pilsētas atdzimšanas biedrība""","""Valdaines"", STRAUPES PAGASTS, PĀRGAUJAS NOVADS, LV-4152",29469477,straupespab@inbox.lv,Pārgaujas novads,N,,,,,57.3188343,24.9629335
"""Nodibinājums Kinoskola""",3360800821,Nodibinājums,INĀRA SLUCKA,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Ināra Slucka, Dita Rietuma","Ināra Slucka, Dita Rietuma","MIERA IELA 91 - 4, RĪGA, LV-1013",29228009,kinoskola@inbox.lv,Rīga,N,,,,,56.9730691,24.1413515
"""NRC """"Vaivari"""" vispārējā pirmsskolas izglītības iestāde""",2901802221,Juridiskā vai fiziskā persona,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"""BO VU Nacionālais rehabilitācijas centrs """"Vaivari""""""","""BO VU Nacionālais rehabilitācijas centrs """"Vaivari""""""","Asaru Prospekts 61, JŪRMALA, LV-2008",7766151,nrc2@mail.eunet.lv,Jūrmala,J,,,,,56.9590977,23.6677265
"""O.Vlasjukas individuālais uzņēmums komercfirma """"KAMIL""""""",3360800298,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,Olga Vlasjuka,Olga Vlasjuka,"MĀRUPES PAGASTS, LV-2167",7217220,,Mārupes pagasts,J,,,,,0,Didn't find exactly one placemark! (Found 2)
"""OLISTA - MĀCĪBU CENTRS""",3360800454,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""OLISTA - DARBA AIZSARDZĪBAS CENTRS""","SIA ""OLISTA - DARBA AIZSARDZĪBAS CENTRS""","DAMMES IELA 8 - 67, RĪGA, LV-1067",29577228,allur@apollo.lv,Rīga,N,,,,,56.9624685,24.0134585
"""Pamatskola """"Māra""""""",3612801268,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Rīgas pilsētas Latgales priekšpilsētas pašvaldības bezpeļņas uzņēmums - bērnu kultūras un izglītības centrs """"Māra""""""","""Rīgas pilsētas Latgales priekšpilsētas pašvaldības bezpeļņas uzņēmums - bērnu kultūras un izglītības centrs """"Māra""""""","Zebiekstes 1, RĪGA, LV-1082",2583736,,Rīga,J,,,,,56.9464886,24.187803
"""PĀRSLA-APSARDZE"" mācību centrs",3360800760,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""PĀRSLA-APSARDZE""","Sabiedrība ar ierobežotu atbildību ""PĀRSLA-APSARDZE""","MASKAVAS IELA 322d, RĪGA, LV-1063",67132571,apsardze@apollo.lv,Rīga,N,,,,,56.9035937,24.1923984
"""Pašaizsardzības apmācības centrs""",3360800853,Komercsabiedrības struktūrvienība,ANDREJS ŠIŠOVS,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""SIKS""","Sabiedrība ar ierobežotu atbildību ""SIKS""","DAUGAVGRĪVAS IELA 31, RĪGA, LV-1007",67592880,info@civiladrosiba.lv,Rīga,N,,,,,56.9536779,24.069997
"""Pieaugušo neformālās izglītības centrs MANI Group""",2960800802,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""MANI Group""","Sabiedrība ar ierobežotu atbildību ""MANI Group""","BULDURU PROSPEKTS 33, JŪRMALA, LV-2010",20220809,natalja@manigroup.lv,Jūrmala,N,,,,,56.9847689,23.8536842
"""Pirmsskolas konsulatīvais centrs """"Bērna attīstības centrs""""""",3803802403,Juridiskā vai fiziskā persona,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības konsultatīvais centrs,"""N.Baranskas individuālā uzņēmums """"NADĪNA"""" ""","""N.Baranskas individuālā uzņēmums """"NADĪNA"""" ""","Bauskas 88, RĪGA, LV-",9707723,,Rīga,J,,,,,56.9159282,24.1110621
"""Pirmsskolas konsultatīvais centrs """"Bērnu māja""""""",3503802382,Juridiskā vai fiziskā persona,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības konsultatīvais centrs,"""SO """"Marijas māja""""""","""SO """"Marijas māja""""""","Hāmaņa 7, RĪGA, LV-1007",7457008,bernu.maja@delfi.lv,Rīga,J,,,,,56.9511467,24.0671238
"""Pirmsskolas mācību centrs """"Bērnu sēta""""""",1501801003,Juridiskā vai fiziskā persona,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"""Z/s """"Apsītes""""""","""Z/s """"Apsītes""""""","PUŠMUCOVAS PAGASTS, CIBLAS NOVADS, LV-5742","""5752582; 9149339""",,Ciblas novads,J,,,,,56.6576138,27.7243326
"""Preiļu rajona SK """"Cerība""""""",1870902192,Pašvaldība,,0,0,Profesionālās ievirzes izglītības iestāde,Sporta skola,Preiļu rajona Padome,Preiļu rajona Padome,"AGLONAS IELA 24, PREIĻI, PREIĻU NOVADS, LV-5300",5322649,,Preiļu novads,J,,,,,56.2918059,26.7301986
"""Privātā krievu nacionālā pamatskola """"Podsolnuh""""""",3012800215,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""SO """"Liepājas saulespuķe""""""","""SO """"Liepājas saulespuķe""""""","Brīvzemnieka 28, LIEPĀJA, LV-3401",9661143,,Liepāja,J,,,,,56.5104893,21.0091166
"""Privātā pamatskola """"Laisma""""""",3612800150,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""SIA """"Laterna LA""""""","""SIA """"Laterna LA""""""","Prūšu 13a, RĪGA, LV-1057",7188590,laisma@mail.junik.lv,Rīga,J,,,,,56.9143409,24.1888565
"""Privātā pamatskola """"MAXVEL""""""",3712801420,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Jeļena Ivanova,Jeļena Ivanova,"Dzelzavas 9, RĪGA, LV-1084",7564478,maxvel@mail.eunet.lv,Rīga,J,,,,,56.963814,24.1717242
"""Privātā pamatskola """"Norma""""""",3712801004,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""SIA """"LSA - KONTAKTS""""""","""SIA """"LSA - KONTAKTS""""""","Saktas 7, RĪGA, LV-1083",7246948,,Rīga,J,,,,,56.9564868,24.1725189
"""Privātā pamatskola """"Saulgrieži""""""",3612802488,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""SIA """"Maksima Plus""""""","""SIA """"Maksima Plus""""""","Prūšu 81, RĪGA, LV-1057",7187029,maksima_plus@delfi.lv,Rīga,J,,,,,56.9060536,24.2047755
"""Privātā pirmskolas izglītības iestāde """"Vinnijs""""""",2001802661,Juridiskā vai fiziskā persona,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"""SIA """"MANASS""""""","""SIA """"MANASS""""""","PRIEŽU IELA 3, BABĪTE, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2101",67888123,ilze@bernudarzsvinnijs.lv,Babītes novads,J,,,,,56.9532132,23.9492141
"""Privātā pirmsskola """"Kolumbs""""""",3701802014,Juridiskā vai fiziskā persona,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"""BO SIA """"Patnis B""""""","""BO SIA """"Patnis B""""""","Biķernieku 33a, RĪGA, LV-1039",7560339,kolumb@e-apollo.lv,Rīga,J,,,,,56.9703077,24.1754968
"""Privātā pirmsskolas izglītības iestāde """"Saulīte un Mēs""""""",2301800979,Juridiskā vai fiziskā persona,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"""Ineta Čerpinska, I/u """"Saulīte un Mēs""""""","""Ineta Čerpinska, I/u """"Saulīte un Mēs""""""","ALEJAS IELA 5, TUKUMS, TUKUMA NOVADS, LV-3101",Nav,,Tukuma novads,J,,,,,56.9566945,23.1821115
"""Privātā sākumskola """"Alfa""""""",2811802342,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,SIA „Starptautiskais mācību centrs „Iesākums”,SIA „Starptautiskais mācību centrs „Iesākums”,"Jāņa 4, JELGAVA, LV-3001","""3010421; 9552336""",alfa.alfa@inbox.lv,Jelgava,J,,,,,56.6451912,23.7247133
"""Privātā sākumskola """"KOLUMBS""""""",3711801563,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""BO SIA """"Patnis B""""""","""BO SIA """"Patnis B""""""","Biķernieku 33a, RĪGA, LV-1039",2560339,,Rīga,J,,,,,56.9703077,24.1754968
"""Privātā vidusskola """"Gaismas tilts 97""""""",2013801012,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""SIA """"Gaismas tilts 97""""""","""SIA """"Gaismas tilts 97""""""","NĀKOTNES IELA 3, ĶEKAVA, ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2123",67937884,gt97@gt.97.lv,Ķekavas novads,J,,,,,56.8252949,24.2375631
"""Privātā vidusskola """"Taka""""""",3613801269,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""BO SIA """"Taka L""""""","""BO SIA """"Taka L""""""","Viļānu 13, RĪGA, LV-1003",7143730,,Rīga,J,,,,,56.9416498,24.1522446
"""Privātais profesionālās pilnveides izglītības mācību centrs """"BPC""""""",3360800252,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""SIA """"Biroja pakalpojumu centrs""""""","""SIA """"Biroja pakalpojumu centrs""""""","Krišjāņa Valdemāra 1c, RĪGA, LV-1010",7286285,macibas@bpc.lv,Rīga,J,,,,,56.9529826,24.1039877
"""Privātsākumskola """"Elita""""""",2811800673,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""SIA """"Piroteks""""""","""SIA """"Piroteks""""""","Dārziņa Emīla 14, JELGAVA, LV-3008",9243494,,Jelgava,J,,,,,56.639667,23.7065397
"""Privātskola """"Stella""""""",3812800004,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""SIA """"Stella un Ko"""",""","""SIA """"Stella un Ko"""",""","Zolitūdes 44, RĪGA, LV-1029",2404492,,Rīga,J,,,,,56.944123,24.0058186
"""Privātskola """"Templum""""""",3512800707,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"Ludmila Gruzdeva, Natālija Bogoslavskaja, Aleksandra Seņenko, Dina Strejeva","Ludmila Gruzdeva, Natālija Bogoslavskaja, Aleksandra Seņenko, Dina Strejeva","Meža 4, RĪGA, LV-1055",7619150,,Rīga,J,,,,,0,Didn't find exactly one placemark! (Found 8)
"""Privātskola """"Zinītis""""""",3212800041,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""SIA """"Zinītis""""""","""SIA """"Zinītis""""""","Katrīnas 4, VENTSPILS, LV-3600",8936039,,Ventspils,J,,,,,57.3959207,21.5698306
"""Privātvidusskola """"Brīvā attīstība""""""",3613800351,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"V.Hodakovskis, R.Djakons, T.Hodakovska","V.Hodakovskis, R.Djakons, T.Hodakovska","Lomonosova 1, RĪGA, LV-1019","7,24152E+13",lyceum@lyceum.junik.lv,Rīga,J,,,,,56.9398772,24.1568017
"""Profesionālās izaugsmes un meistarības skola ALTER EGO""",2060800765,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""ALTER EGO""","Sabiedrība ar ierobežotu atbildību ""ALTER EGO""","ROŽU IELA 13, MĀRUPE, MĀRUPES NOVADS, LV-2167",29430550,alterego@alterego.lv,Mārupes novads,N,,,,,56.8946256,24.0414152
"""Profesionālās Pilnveides Mācību Centrs Atēna""",3360802023,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Profesionālās Pilnveides Mācību Centrs Atēna""","Sabiedrība ar ierobežotu atbildību ""Profesionālās Pilnveides Mācību Centrs Atēna""","GANĪBU DAMBIS 21b - 8, RĪGA, LV-1005",67383150,info@mcatena.lv,Rīga,N,,,,,56.9789623,24.1150337
"""Profesionālās pilnveides un tālākizglītības iestāde ""BCMC""""",4360801041,Komercsabiedrības struktūrvienība,VSEVOLODS SIČEVS,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,SIA „Baltic Construction Management Company (BCMC)”,SIA „Baltic Construction Management Company (BCMC)”,"Annasmuiža 3, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2107",28345595,sia.bcmc@inbox.lv,Babītes novads,N,,,,,56.8919092,23.7743237
"""R&V valodu aģentūra""",3360800679,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""Valodu Aģentūra""","SIA ""Valodu Aģentūra""","SKOLAS IELA 4, RĪGA, LV-1010",67242200,runv@delfi.lv,Rīga,N,,,,,56.9561595,24.1162823
"""Radošo spēju attīstības centrs """"Harmonija""""""",3360800204,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""SO SIA """"Koridors""""""","""SO SIA """"Koridors""""""","Birznieka-Upīša Ernesta 29-10, RĪGA, LV-",7282504,harmonijaa@inbox.lv,Rīga,J,,,,,0,Didn't find exactly one placemark! (Found 3)
"""Reģionālās un biznesa attīstības centrs """"Kurzeme""""""",1260800031,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"Īvandes Zaļais Centrs, Kuldīgas rajona padome, Kuldīgas rajona padomes Reģionālās attīstības nodaļa, Uzņēmējdarbības atbalsta centrs, LR Vides aizsardzības un reģionālās attīstības ministrija,  Kuldīgas rajona Īvandes, Ēdoles un Alsungas pag.pad., u.c.","Īvandes Zaļais Centrs, Kuldīgas rajona padome, Kuldīgas rajona padomes Reģionālās attīstības nodaļa, Uzņēmējdarbības atbalsta centrs, LR Vides aizsardzības un reģionālās attīstības ministrija,  Kuldīgas rajona Īvandes, Ēdoles un Alsungas pag.pad., u.c.","PILSĒTAS LAUKUMS 3, KULDĪGA, KULDĪGAS NOVADS, LV-3300",3323469,kurzeme@kuldiga.parks.lv,Kuldīgas novads,J,,,,,56.969528,21.9620639
"""Rīgas pilsētas Latgales priekšpilsētas Pašvaldības bezpeļņas uzņēmums - kultūras un izglītības centrs """"Māra""""""",3651902162,Pašvaldība,,0,0,Bērnu un jauniešu interešu izglītības iestāde,Bērnu un jauniešu interešu izglītības iestāde,Latgales priekšpilsētas pašvaldība,Latgales priekšpilsētas pašvaldība,"Zebiekstes 1, RĪGA, LV-1082","""7583736; 7581671""",,Rīga,J,,,,,56.9464886,24.187803
"""Rīgas pilsētas Skolu valdes Bērnu un jauniešu nams """"Rīdze""""""",3351901687,Pašvaldība,,0,0,Bērnu un jauniešu interešu izglītības iestāde,Bērnu un jauniešu interešu izglītības iestāde,Rīgas pilsētas dome,Rīgas pilsētas dome,"Valdemāra Krišjāņa 2, RĪGA, LV-1047",7225811,bjk@ridze.apollo.lv,Rīga,J,,,,,56.953616,24.1072318
